scheme name,ministries/departments,target beneficiaries,eligibility criteria,description & benefits,application process,tags
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)","Department of Social Justice, Government of Kerala",Differently-abled students with 40% or more disability,1. The applicant should be a resident of Kerala State. 2. The differently abled students with 40% or more disability are eligible to apply under the scheme. 3. Financial assistance will be provided to students falling in Above Poverty Line (APL) as well as Below Poverty Line (BPL) categories.,"Under the scheme, financial assistance will be provided to such school dropouts to pursue SSLC, +1, +2 equivalent courses implemented by State Literacy Mission. The benefits include course fee assistance, exam fee assistance, registration fee assistance, and admission fee assistance.","Offline application process. The applicant needs to visit the nearest Anganwadi Centre or District Social Justice Office and collect the application form. The application form can also be downloaded from the official website of the Social Justice Department, Government of Kerala. The application may be submitted to the District Social Justice Officers (DSJOs) or the concerned Anganwadi Centre.","APL, BPL, Disabled, Financial Assistance, PwD, Student"
ICMR- Post Doctoral Fellowship,Ministry Of Health & Family Welfare,Fresh PhDs/MD/MS holders,"Indian nationals only, Fresh PhDs/MD/MS within three years of completing their Ph.D./MD/MS degree, Maximum age limit is 32 years, relaxable up to 5 years in case of SC/ST/OBC/PH and women candidates","Fellowship to foster high-quality research opportunities in cutting-edge areas of basic science, communicable and non-communicable diseases, and reproductive health including nutrition at ICMR Institutes /Centers, Consolidated fellowship of ₹65,000/- per month plus House Rent Allowance (HRA) and Non-Practicing allowance (NPA), Contingency grant of ₹3,00,000/- per annum","Offline, Last Date of Application (30th June and 31st December Every Year), Application form can be downloaded from ICMR website, Completed application should be accompanied by all the requisite documents and attach self-attested photocopies of all documents as required, Applications should be sent to Director General, ICMR Headquarters, Ansari Nagar, New Delhi-110029","Research, Fellowship, Medical Research, Post Doctoral"
Tool Kit Grant for Traditional Handicrafts Experts,"Backward Communities Development Department, Government of Kerala",Traditional OBC craftsmen,"The applicant should be a permanent resident of Kerala State, belong to the State Backward Communities of Kerala State, be engaged in traditional craftwork/skilled work, have an upper age limit of 60 years, and have an annual family income of ₹1,00,000/-.","The scheme provides modern skill training and Tool Kits to traditional OBC craftsmen to improve their productivity and competitiveness, ensuring quality goods for enhanced income and qualitative improvement in their living conditions. The grant of ₹25000/- shall be given to the eligible person for his/her training, stipend (if found necessary) and tool kits.",Offline application through prescribed form with all relevant documents to be submitted to the Regional Deputy Director.,"Craftsman, Grant, Handicrafts, OBC, Self-employment, Stipend, Tool Kit, Training"
Snehasanthwanam,"Social Justice Department, Government of Kerala",Endosulfan victims in the state of Kerala,The applicant should be a resident of Kerala State. The applicant should be an Endosulfan victim.,"The scheme acts as a relief measure for the Endosulfan victims in the state of Kerala. Under this scheme, financial assistance has been granted from December 2010 onwards to the Endosulfan victims. This scheme also aims to provide educational assistance to the Children of Endosulfan-affected families. In addition to this, Kerala Social Security Mission is now providing monthly assistance of ₹700/- per month to the caregivers of Endosulfan victims who are fully bedridden or mentally retarded under the special Aswasakiranam scheme.","Offline. To avail of the benefits of the scheme, the application duly filled out should be submitted to the Kasaragod District Collector Office. The applicant may also visit Kerala Social Security Mission offices or the Social Justice Department in Kerala.","Endosulfan, Financial Assistance, Educational Assistance, Bedridden, Victim, Kerala"
"Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)","Department of Social Welfare, Union Territory of Andaman and Nicobar Islands",OBC students belonging to the non-creamy layer of Andaman & Nicobar Islands,Students who belong to OBCs so specified and notified in relation to Andaman and Nicobar Islands and are domicile of Andaman & Nicobar Islands and who have passed Secondary (Class X)/Senior Secondary (Class XII) from a recognized Board of School Education and pursuing higher education in a recognized Institution/University,"The scheme provides additional financial assistance (Scholarship) to the OBC students belonging to the non-creamy layer of Andaman & Nicobar Islands for pursuing higher education after Secondary (X)/Senior Secondary (XII), in Government-recognized Polytechnic/ITI/College/University anywhere in India, as an incentive to supplement to the cost of their education.",Online submission of the application form can be done through the website of the National Scholarship Portal,"Higher Study, OBC, Scholarship, Student"
National Family Benefit Scheme - Uttar Pradesh,Uttar Pradesh Government,Below-poverty-line families who have lost their lead earners,"1. The applicant should be aged between 18 years to 60 years. 2. The family income should not be more than Rs. 56, 450/- in urban areas and Rs. 46, 080/- in rural areas.","The scheme provides a lump sum amount of Rs. 30, 000/- as compensation to the families who have lost their lead earners. The scheme is for below-poverty-line families.","The application process is available only online. The applicants need to visit the official website, download the application form, fill it out, and submit it along with the required documents.","Financial Assistance, Death Relief Benefit, Below Poverty Line Families, Uttar Pradesh Government"
Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,Ministry Of Social Justice and Empowerment,Economically Backward Class (EBC) students studying at the post-matriculation or post-secondary stage,"Indian nationals belonging to the General Category (Other than Schedule Caste, Schedule Tribe and Other Backward Classes), with income from all sources not exceeding ₹ 1,00,000 per annum","Financial assistance to complete education, including maintenance allowance, reader charges for blind students, fees, study tours, and thesis typing/printing charges","Online application through National Scholarship Portal, with required documents and certificates","EBC, Post Matric, Scholarship, Student"
Financial Assistance under Odisha Working Journalist Welfare Scheme,"Information & Public Relations Department, Government of Odisha",Legal heirs of working journalists in Odisha,"1. Journalist should be working in Odisha. 2. The Journalist should be working for a media house registered with the I&PR department, Odisha. 3. The applicant should be a legal heir of the working journalist in case of his/her death or in case of permanent incapacitation.","The scheme provides financial assistance to the legal heir of a working journalist in case of his/her death, and in case of permanent incapacitation. In the event of death of a working journalist, a fixed sum of money may be paid to the widow, and in the event of the deceased not being survived by his widow, equally to the minor children.",Online application through the official web portal of the Odisha Working Journalist Welfare Scheme Application.,"Financial Assistance, Journalist, Death, Permanent Incapacitation, Odisha"
Savitribai Jyotirao Phule Fellowship For Single Girl Child,Ministry of Education,"Single girl child, i.e. the only girl child in the family without having any brother or sister","Any single girl child of her parents pursuing Ph.D. in any stream/subject in recognised Universities/Colleges/Institutes, registered herself in regular, full-time Ph. D. program, girl students up to the age of 40 years for general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application","Fellowship scheme by the University Grants Commission (UGC), Department of Higher Education, for pursuing research work leading to the award of a Ph.D. degree, financial assistance, contingency, HRA, medical assistance, leave","Online application process, registration, login, dashboard, eligibility alert, eligibility, data capturing format, PG details, Ph.D. details, declaration","Fellowship, Girl Child, Ph.D., Education, Research"
Exposure Visits To The Assam Legislative Assembly,Parliamentary Affairs Department,Students from High School up to College level,"Students from related subjects such as Political Science, Economics, etc. within the Arts/Humanities streams in colleges/higher secondary schools and social sciences in secondary schools. Selection is based on academic performance and enthusiastic participation in extracurricular activities.","The scheme provides practical exposure to students by visiting the Assam Legislative Assembly and witnessing the legislative sessions, debates, and bill discussions. Students have the opportunity to interact with dignitaries such as the Hon'ble Speaker, Chief Minister, Ministers, MLAs, and senior officials. The scheme helps students understand the functioning of the State Legislative Assembly and the legislative process.",Offline application process. The selection of educational institutions and students is done in consultation with the respective District Collectors (DCs)/Inspectors of Schools.,"Assam, Legislative Assembly, Student Visits, Learning, Education"
