Application Process,Description & Benefits,URL,Ministries/Departments,Eligibility Criteria,Tags,Scheme Name,Target Beneficiaries
"Offline application process. The applicant needs to visit the nearest Anganwadi Centre or District Social Justice Office and collect the application form. The application form can also be downloaded from the official website of the Social Justice Department, Government of Kerala. The application may be submitted to the District Social Justice Officers (DSJOs) or the concerned Anganwadi Centre.","Under the scheme, financial assistance will be provided to such school dropouts to pursue SSLC, +1, +2 equivalent courses implemented by State Literacy Mission. The benefits include course fee assistance, exam fee assistance, registration fee assistance, and admission fee assistance.",https://www.myscheme.gov.in/schemes/fadsp1012e,"Department of Social Justice, Government of Kerala",1. The applicant should be a resident of Kerala State. 2. The differently abled students with 40% or more disability are eligible to apply under the scheme. 3. Financial assistance will be provided to students falling in Above Poverty Line (APL) as well as Below Poverty Line (BPL) categories.,"APL, BPL, Disabled, Financial Assistance, PwD, Student","Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)",Differently-abled students with 40% or more disability
"Offline, Last Date of Application (30th June and 31st December Every Year), Application form can be downloaded from ICMR website, Completed application should be accompanied by all the requisite documents and attach self-attested photocopies of all documents as required, Applications should be sent to Director General, ICMR Headquarters, Ansari Nagar, New Delhi-110029","Fellowship to foster high-quality research opportunities in cutting-edge areas of basic science, communicable and non-communicable diseases, and reproductive health including nutrition at ICMR Institutes /Centers, Consolidated fellowship of ₹65,000/- per month plus House Rent Allowance (HRA) and Non-Practicing allowance (NPA), Contingency grant of ₹3,00,000/- per annum",https://www.myscheme.gov.in/schemes/icmr-pdf,Ministry Of Health & Family Welfare,"Indian nationals only, Fresh PhDs/MD/MS within three years of completing their Ph.D./MD/MS degree, Maximum age limit is 32 years, relaxable up to 5 years in case of SC/ST/OBC/PH and women candidates","Research, Fellowship, Medical Research, Post Doctoral",ICMR- Post Doctoral Fellowship,Fresh PhDs/MD/MS holders
Offline application through prescribed form with all relevant documents to be submitted to the Regional Deputy Director.,"The scheme provides modern skill training and Tool Kits to traditional OBC craftsmen to improve their productivity and competitiveness, ensuring quality goods for enhanced income and qualitative improvement in their living conditions. The grant of ₹25000/- shall be given to the eligible person for his/her training, stipend (if found necessary) and tool kits.",https://www.myscheme.gov.in/schemes/tkgthe,"Backward Communities Development Department, Government of Kerala","The applicant should be a permanent resident of Kerala State, belong to the State Backward Communities of Kerala State, be engaged in traditional craftwork/skilled work, have an upper age limit of 60 years, and have an annual family income of ₹1,00,000/-.","Craftsman, Grant, Handicrafts, OBC, Self-employment, Stipend, Tool Kit, Training",Tool Kit Grant for Traditional Handicrafts Experts,Traditional OBC craftsmen
"Offline. To avail of the benefits of the scheme, the application duly filled out should be submitted to the Kasaragod District Collector Office. The applicant may also visit Kerala Social Security Mission offices or the Social Justice Department in Kerala.","The scheme acts as a relief measure for the Endosulfan victims in the state of Kerala. Under this scheme, financial assistance has been granted from December 2010 onwards to the Endosulfan victims. This scheme also aims to provide educational assistance to the Children of Endosulfan-affected families. In addition to this, Kerala Social Security Mission is now providing monthly assistance of ₹700/- per month to the caregivers of Endosulfan victims who are fully bedridden or mentally retarded under the special Aswasakiranam scheme.",https://www.myscheme.gov.in/schemes/skerala,"Social Justice Department, Government of Kerala",The applicant should be a resident of Kerala State. The applicant should be an Endosulfan victim.,"Endosulfan, Financial Assistance, Educational Assistance, Bedridden, Victim, Kerala",Snehasanthwanam,Endosulfan victims in the state of Kerala
Online submission of the application form can be done through the website of the National Scholarship Portal,"The scheme provides additional financial assistance (Scholarship) to the OBC students belonging to the non-creamy layer of Andaman & Nicobar Islands for pursuing higher education after Secondary (X)/Senior Secondary (XII), in Government-recognized Polytechnic/ITI/College/University anywhere in India, as an incentive to supplement to the cost of their education.",https://www.myscheme.gov.in/schemes/sgassobcaniphsaislecxixii,"Department of Social Welfare, Union Territory of Andaman and Nicobar Islands",Students who belong to OBCs so specified and notified in relation to Andaman and Nicobar Islands and are domicile of Andaman & Nicobar Islands and who have passed Secondary (Class X)/Senior Secondary (Class XII) from a recognized Board of School Education and pursuing higher education in a recognized Institution/University,"Higher Study, OBC, Scholarship, Student","Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)",OBC students belonging to the non-creamy layer of Andaman & Nicobar Islands
"The application process is available only online. The applicants need to visit the official website, download the application form, fill it out, and submit it along with the required documents.","The scheme provides a lump sum amount of Rs. 30, 000/- as compensation to the families who have lost their lead earners. The scheme is for below-poverty-line families.",https://www.myscheme.gov.in/schemes/nfbsup,Uttar Pradesh Government,"1. The applicant should be aged between 18 years to 60 years. 2. The family income should not be more than Rs. 56, 450/- in urban areas and Rs. 46, 080/- in rural areas.","Financial Assistance, Death Relief Benefit, Below Poverty Line Families, Uttar Pradesh Government",National Family Benefit Scheme - Uttar Pradesh,Below-poverty-line families who have lost their lead earners
"Online application through National Scholarship Portal, with required documents and certificates","Financial assistance to complete education, including maintenance allowance, reader charges for blind students, fees, study tours, and thesis typing/printing charges",https://www.myscheme.gov.in/schemes/dacsspostmsebcs,Ministry Of Social Justice and Empowerment,"Indian nationals belonging to the General Category (Other than Schedule Caste, Schedule Tribe and Other Backward Classes), with income from all sources not exceeding ₹ 1,00,000 per annum","EBC, Post Matric, Scholarship, Student",Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,Economically Backward Class (EBC) students studying at the post-matriculation or post-secondary stage
Online application through the official web portal of the Odisha Working Journalist Welfare Scheme Application.,"The scheme provides financial assistance to the legal heir of a working journalist in case of his/her death, and in case of permanent incapacitation. In the event of death of a working journalist, a fixed sum of money may be paid to the widow, and in the event of the deceased not being survived by his widow, equally to the minor children.",https://www.myscheme.gov.in/schemes/owjws,"Information & Public Relations Department, Government of Odisha","1. Journalist should be working in Odisha. 2. The Journalist should be working for a media house registered with the I&PR department, Odisha. 3. The applicant should be a legal heir of the working journalist in case of his/her death or in case of permanent incapacitation.","Financial Assistance, Journalist, Death, Permanent Incapacitation, Odisha",Financial Assistance under Odisha Working Journalist Welfare Scheme,Legal heirs of working journalists in Odisha
"Online application process, registration, login, dashboard, eligibility alert, eligibility, data capturing format, PG details, Ph.D. details, declaration","Fellowship scheme by the University Grants Commission (UGC), Department of Higher Education, for pursuing research work leading to the award of a Ph.D. degree, financial assistance, contingency, HRA, medical assistance, leave",https://www.myscheme.gov.in/schemes/sjpfsgc,Ministry of Education,"Any single girl child of her parents pursuing Ph.D. in any stream/subject in recognised Universities/Colleges/Institutes, registered herself in regular, full-time Ph. D. program, girl students up to the age of 40 years for general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application","Fellowship, Girl Child, Ph.D., Education, Research",Savitribai Jyotirao Phule Fellowship For Single Girl Child,"Single girl child, i.e. the only girl child in the family without having any brother or sister"
Offline application process. The selection of educational institutions and students is done in consultation with the respective District Collectors (DCs)/Inspectors of Schools.,"The scheme provides practical exposure to students by visiting the Assam Legislative Assembly and witnessing the legislative sessions, debates, and bill discussions. Students have the opportunity to interact with dignitaries such as the Hon'ble Speaker, Chief Minister, Ministers, MLAs, and senior officials. The scheme helps students understand the functioning of the State Legislative Assembly and the legislative process.",https://www.myscheme.gov.in/schemes/evtala,Parliamentary Affairs Department,"Students from related subjects such as Political Science, Economics, etc. within the Arts/Humanities streams in colleges/higher secondary schools and social sciences in secondary schools. Selection is based on academic performance and enthusiastic participation in extracurricular activities.","Assam, Legislative Assembly, Student Visits, Learning, Education",Exposure Visits To The Assam Legislative Assembly,Students from High School up to College level
"Online application submission, inspection and processing, grant disbursement in two installments, and execution of a continuity bond","Creating awareness about the ill effects of alcoholism and substance abuse, providing community-based services for indemnification, motivation, counselling, de-addiction, aftercare, and rehabilitation for whole-person recovery (WPR) of addicts",https://www.myscheme.gov.in/schemes/sapaandsdasdsggiapfafsd,Ministry Of Social Justice and Empowerment,"Organizations with at least two years of experience in the related area or demonstrating competence to undertake the proposed scheme, registered societies, charitable non-profit-making companies, public trusts, non-official organizations involved in social welfare, and certain statutory bodies","Alcoholism, Substance Abuse, Social Defence, Rehabilitation, Financial Assistance, Grant-in-Aid",Scheme of Assistance for the Prevention of Alcoholism & Substance (Drugs) Abuse and for Social Defence Services: General Grant-in-Aid Programme for Financial Assistance in the Field of Social Defence,"Addicts, people affected by alcoholism and substance abuse"
"Online application through SUNEETHI- Online Service Application Portal, registration and login required, fill in the application form and submit","The scheme provides financial aid to dependents as well as victims of crime, financial assistance of ₹20,000/- will be provided as one-time assistance to the eligible beneficiary",https://www.myscheme.gov.in/schemes/js-esdcv,"Department of Social Justice, Government of Kerala","The applicant should be a native and resident of Kerala State, the applicant must be either the person who has been seriously injured in a crime or must be a dependent - Wife/Husband/Unmarried son or daughter of the victim of the crime, the annual income of the family should not exceed ₹1,00,000/-, the applicant should have applied within 5 years of the crime","Crime Victims, Self-Employment, Financial Assistance, Kerala",Jeevanam Self-Employment Scheme To Dependents Of Crime Victims,"Dependents of crime victims, victims of crime with serious injuries"
"Offline application process: 1. Visit the District Social Welfare Office, and request a hard copy of the format of the application form for the scheme from the concerned authority. 2. Fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. 3. Submit the duly filled and signed application form along with the documents to the District Social Welfare Officer. 4. Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","The scheme provides care and protection in the institutions. Besides food, shelter, bedding & clothing are also provided. For school-going destitute girls free education is provided in addition to other facilities.",https://www.myscheme.gov.in/schemes/nn,"Department of Social Welfare, Government of Jammu and Kashmir",1. The applicant should be a citizen of India. 2. The applicant should be a domicile / permanent resident of the state of Jammu & Kashmir. 3. The applicant should be a Female. 4. The applicant should be deserted /destitute / widow. 5. The applicant should not have any means of livelihood.,"Rehabilitation, Shelter, Social Welfare, Widow, Destitute",Nari Niketans,Deserted/destitute ladies/widows having no means of livelihood
Online application through the official website of Chhattisgarh Labour Department. Unregistered applicants need to register first and then apply for the scheme. Already registered applicants can directly apply for the scheme.,"Financial assistance will be provided for the medical treatment of serious illness like treatment of kidney, cancer, sickle cell anemia, heart disease, AIDS and paralysis. Unorganized workers can receive up to ₹ 50,000 in medical assistance.",https://www.myscheme.gov.in/schemes/akgbcsy,Labor Department of Chhattisgarh State,1. The applicant must be registered with the State Board for at least 90 days. 2. The applicant must be between the ages of 18 and 60. 3. The applicant must be registered as a beneficiary of unorganized workers under Section 10 of the Act.,"Financial Assistance, Medical Treatment, Serious Illness, Unorganized Workers",Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,Unorganized workers
"Online application process involving registration, login, form filling, uploading documents, and submission. The applicant enterprises should apply for this incentive within 6 months from the date of commencement of commercial production.",The scheme aims to reduce the stamp duty and registration charges incurred by MSEs investing in backward blocks in Tamil Nadu. Eligible enterprises receive a 50% reimbursement of stamp duty and registration charges incurred on land purchases intended for industrial use.,https://www.myscheme.gov.in/schemes/rsdarc,"Micro Small and Medium Enterprises Department, Government of Tamil Nadu","The applicant should be a manufacturing enterprise (micro or small scale), set up in the declared backward blocks of the state of Tamil Nadu. The incentive is admissible to eligible enterprises on the land area up to five times the plinth area of the factory building constructed.","MSME, Reimbursement, Stamp Duty, Registration Charges, Tamil Nadu, Business, Enterprise",Reimbursement of Stamp Duty and Registration Charges,Manufacturing enterprises (micro or small scale) set up in the declared backward blocks of the state of Tamil Nadu
"Offline application process involving submission of application form with mandatory documents at the Coffee Board office. Post-application processes include scrutiny, feasibility assessment, procurement, installation, and commissioning of R&G machinery, and submission of support claim application.","This scheme aims to enhance the quality of coffee products and achieve value addition through the introduction of improved technologies in roasting, grinding, and packaging which will result in boosting domestic coffee consumption and entrepreneurship in the coffee sector, especially in the non-traditional areas. Benefits include subsidy support of 40% of the machinery cost with a ceiling of ₹10,00,000 for roasting units, and 50% subsidy support for SHGs, women entrepreneurs, SC/ ST, Minorities, and differently-abled beneficiaries.",https://www.myscheme.gov.in/schemes/icdpsva-srgu,Ministry Of Commerce And Industry,"The applicants should be individual units, Partnership firms, self-help groups (SHG)/ Growers’ collectives interested in establishing coffee roasting units. The Scheme is applicable only for the establishment of new R&G units. The applicant’s unit must hold a valid business license from the respective statutory authorities.","Agriculture, Direct Benefit Transfer, Farmer, Financial Assistance, Subsidy",Support for Value Addition - Support to R&G units,"Individual units, Partnership firms, self-help groups (SHG)/ Growers’ collectives interested in establishing coffee roasting units"
"Email CV, motivation letter, and recommendation letter from the Head of the Department/Chairman of the advisory committee to saravananraj.manage@gmail.com","Capacity development in research and extension, stipend of ₹10,000 per month for a 3-month internship or ₹35,000 per month for a 6-month internship",https://www.myscheme.gov.in/schemes/mip,Ministry Of Agriculture and Farmers Welfare,"Completed/ongoing PhD or M.Sc in Extension Education/ Economics/ Sociology/ Psychology/ MSW/ Journalism/ Communication/ Environmental Science, OGPA of a minimum of 8 out of 10 (minimum 80%), fluency in English, good writing skills","Agriculture, Environment, Internship, Management, Student",MANAGE Internship Programme,"Students from the disciplines of Extension Education, Economics, Sociology, Psychology, MSW, Journalism, Communication, and Environmental Science"
"Offline, application form can be obtained from designated Offices notified by the Director of Women and Child Development or designated bank branches, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach copies of all the mandatory documents (self-attest if required), and send the application to: Director, Directorate of Women And Child Development, Panaji-Goa, 2nd floor, Old Education Building, 18th June Road, Altinho, Panaji, Goa - 403 001","Financial Assistance of ₹ 1,00,000, by means of a bank fixed deposit, jointly in the name of the Director (DoWCD) and the applicant, to financially empower the girl child to meet educational and other expenses on becoming a major of age and to improve the female sex ratio in the State",https://www.myscheme.gov.in/schemes/lls-g,"Department of Women & Child Development, Government of Goa","The applicant should be a Girl, born in the State of Goa OR should be a resident of Goa for the last fifteen years, parental income of the applicant does not exceed ₹ 3,00,000 per annum, and the applicant should qualify for ANY ONE of the following three criteria: a) At least one of the parents of the applicant is born in Goa and is also a resident of Goa for the last fifteen years, b) One of the parents of the applicant is residing in Goa for the last twenty-five years, c) In case the applicant is an affected person of Tillari Irrigation Project (a joint venture of the Government of Goa and the government of Maharashtra) and was rehabilitated in the State of Goa","Financial Assistance, Girl Child, Marriage, Social Welfare",Laadli Laxmi Scheme,Girl child
